"","university","percent_disagree_strongly_2020","percent_disagree_mildly_2020","percent_neutral_2020","percent_agree_mildly_2020","percent_agree_strongly_2020","sample_size_2020","respondents_2020","percent_disagree_strongly_2021","percent_disagree_mildly_2021","percent_neutral_2021","percent_agree_mildly_2021","percent_agree_strongly_2021","sample_size_2021","respondents_2021"
"313","Sparsholt College",4,14,13,41,29,93,80,3,9,12,37,40,94,68
"314","Spurgeon's College",0,0,6,35,59,22,17,NA,NA,NA,NA,NA,NA,NA
"315","SRUC",5,9,14,53,19,244,174,3,9,12,47,29,253,205
"316","University of St Andrews",2,3,3,26,67,1764,1128,1,2,4,33,61,1723,1156
"317","St Helens College",10,9,9,38,35,118,69,2,9,2,47,40,84,57
"318","University of St Mark & St John",4,8,8,31,50,619,435,6,9,10,32,44,685,500
"319","St Mary's College",0,0,8,31,62,16,13,NA,NA,NA,NA,NA,NA,NA
"320","St Mary's University College",4,6,9,38,44,458,285,2,8,12,45,33,229,164
"321","St Mary's University, Twickenham",3,4,8,45,41,986,709,3,6,10,37,44,880,636
"322","St Mellitus College Trust",0,3,3,23,70,123,91,2,1,5,27,65,138,117
"323","St. George's Hospital Medical School",4,6,12,49,29,753,613,8,13,18,45,17,749,600
"324","Staffordshire University",3,6,8,41,43,2622,2000,5,9,10,40,36,2549,2035
"325","University of Stirling",2,5,6,49,38,1475,1005,3,7,9,47,34,1799,1320
"326","Stranmillis University College",0,5,4,38,53,290,237,4,11,8,46,30,270,227
"327","University of Strathclyde",2,5,7,45,41,3034,2317,2,5,8,46,39,3005,2088
"328","Strode College",6,9,9,31,46,47,35,0,3,3,15,79,50,34
"329","University of Suffolk",5,11,8,41,35,1157,839,7,11,10,39,33,1348,856
"330","University of Sunderland",4,6,7,43,40,2072,1533,4,7,10,40,38,2524,1918
"331","The University of Surrey",3,7,11,46,33,3417,2484,3,6,11,47,34,3942,3069
"332","University of Sussex",3,7,10,50,31,3752,2189,5,9,11,48,27,4307,2806
"333","Swansea University",1,3,7,47,42,4335,3112,2,6,9,46,37,4253,2972
